4,AB de Villiers,DD,SA,111,119,93.27731092,7,0,45,0,0,0,#DIV/0!,6,2,7,26
11,Aditya Tare ,MI,IND,50,36,138.8888889,5,3,23,0,0,0,#DIV/0!,3,0,7,22
11,Aditya Tare ,MI,IND,50,36,138.8888889,5,3,23,0,0,0,#DIV/0!,3,0,7,22
17,Ambati Rayudu,MI,IND,356,246,144.7154472,34,13,55,0,0,0,#DIV/0!,7,3.5,14,24
18,Amit Mishra,DD,IND,39,51,76.47058824,1,0,12,318,363,17,6.849056604,4,2.5,14,27
33,Bhuvneshwar Kumar,RCB,IND,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,19
45,Chris Gayle,KKR,WI,292,184,158.6956522,30,16,88,96,152,4,9.5,2,0,9,30
50,David Warner,DD,AUS,282,191,147.6439791,27,14,107,0,0,0,#DIV/0!,8,1,11,23
52,Dhawal Kulkarni,MI,IND,0,0,#DIV/0!,0,0,0,24,40,1,10,0,0,1,21
56,Dinesh Karthik ,DD,IND,278,237,117.2995781,26,6,69,0,0,0,#DIV/0!,12,4.5,14,24
56,Dinesh Karthik ,DD,IND,278,237,117.2995781,26,6,69,0,0,0,#DIV/0!,12,4.5,14,24
59,Dwayne Bravo,MI,WI,64,53,120.754717,4,4,23,157,228,4,8.713375796,4,1,10,26
69,Harbhajan Singh,MI,IND,105,63,166.6666667,12,5,49,321,377,17,7.046728972,6,0.5,15,29
77,Ishant Sharma,KKR,IND,6,17,35.29411765,0,0,6,150,236,7,9.44,1,0,7,21
90,Kedar Jadhav,DD,IND,76,56,135.7142857,7,2,50,0,0,0,#DIV/0!,0,0.5,5,25
93,Kieron Pollard,MI,WI,273,147,185.7142857,23,17,45,222,274,15,7.405405405,6,3.5,14,23
97,Lasith Malinga,MI,SL,1,1,100,0,0,1,294,344,15,7.020408163,2,1.5,13,26
102,Mandeep Singh,KKR,IND,4,11,36.36363636,0,0,4,0,0,0,#DIV/0!,0,0,3,
103,Manish Pandey,RCB,IND,249,226,110.1769912,27,7,42,0,0,0,#DIV/0!,6,0.5,13,20
115,Moises Henriques,DD,AUS,11,5,220,2,0,11,24,35,1,8.75,1,0,1,23
118,MS Dhoni,CSK,IND,287,210,136.6666667,24,9,66,0,0,0,#DIV/0!,11,3.8,13,28
118,MS Dhoni,CSK,IND,287,210,136.6666667,24,9,66,0,0,0,#DIV/0!,11,3.8,13,28
127,Parthiv Patel ,CSK,IND,72,79,91.13924051,6,2,57,0,0,0,#DIV/0!,2,0,4,25
127,Parthiv Patel ,CSK,IND,72,79,91.13924051,6,2,57,0,0,0,#DIV/0!,2,0,4,25
129,Piyush Chawla,KXI,IND,62,60,103.3333333,7,0,22,294,367,12,7.489795918,3,2,14,21
142,Robin Uthappa,RCB,IND,376,218,172.4770642,20,28,68,0,0,0,#DIV/0!,10,3.5,16,24
142,Robin Uthappa,RCB,IND,376,218,172.4770642,20,28,68,0,0,0,#DIV/0!,10,3.5,16,24
145,Rohit Sharma,DC,IND,404,302,133.7748344,36,14,73,114,153,2,8.052631579,9,0.5,16,23
164,Shikhar Dhawan,MI,IND,191,170,112.3529412,23,3,56,0,0,0,#DIV/0!,5,0,10,24
171,Steven Smith,RCB,WI,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,21
175,Suresh Raina,CSK,IND,524,365,143.5616438,46,22,83,143,178,6,7.468531469,10,2,16,23
184,Umesh Yadav,DD,IND,3,4,75,0,0,3,144,184,6,7.666666667,1,0,7,22
185,Varun Aaron,KKR,IND,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,20
189,Virat Kohli,RCB,IND,307,212,144.8113208,26,12,58,32,50,0,9.375,3,2,16,21
202,Yusuf Pathan,RR,IND,333,201,165.6716418,22,24,100,204,246,5,7.235294118,9,1,14,27
203,Yuvraj Singh,KXI,IND,255,199,128.1407035,20,14,43,138,152,5,6.608695652,2,0,14,28
